date, KT_CO2, Metric_TON_PerCapita
1960-12-31,2890696.1,15.9998
1961-12-31,2880505.507,15.6813
1962-12-31,2987207.873,16.0139
1963-12-31,3119230.874,16.4828
1964-12-31,3255995.306,16.9681
1965-12-31,3390922.571,17.4517
1966-12-31,3561878.111,18.1211
1967-12-31,3695708.943,18.5983
1968-12-31,3831354.94,19.0894
1969-12-31,4024748.853,19.8579
1970-12-31,4328904.501,21.1113
1971-12-31,4356770.034,20.9802
1972-12-31,4564952.958,21.7486
1973-12-31,4770194.948,22.5106
1974-12-31,4598487.673,21.5029
1975-12-31,4406329.539,20.4022
1976-12-31,4613100.668,21.1576
1977-12-31,4742292.745,21.5325
1978-12-31,4890861.25,21.973
1979-12-31,4901796.244,21.7804
1980-12-31,4723209.677,20.7865
1981-12-31,4535800.308,19.7668
1982-12-31,4306748.487,18.5905
1983-12-31,4341878.347,18.5715
1984-12-31,4475192.132,18.9768
1985-12-31,4492555.377,18.8823
1986-12-31,4495463.308,18.7207
1987-12-31,4688373.177,19.3503
1988-12-31,4892526.068,20.0104
1989-12-31,4955081.421,20.0758
1990-12-31,4823403.118,19.3228
1991-12-31,4820847.219,19.0562
1992-12-31,4909533.614,19.1394
1993-12-31,5028674.444,19.3471
1994-12-31,5094354.081,19.3609
1995-12-31,5132919.92,19.2765
1996-12-31,5252112.088,19.496
1997-12-31,5368715.354,19.6904
1998-12-31,5401010.623,19.5792
1999-12-31,5504669.379,19.7272
2000-12-31,5693684.894,20.1788
2001-12-31,5595794.329,19.6365
2002-12-31,5641309.133,19.6134
2003-12-31,5675701.926,19.5641
2004-12-31,5756075.232,19.6584
2005-12-31,5789727.291,19.5919
2006-12-31,5697285.888,19.0941
2007-12-31,5789030.561,19.2179
2008-12-31,5614110.994,18.4618
2009-12-31,5263505.457,17.1577
2010-12-31,5395532.125,17.4431
2011-12-31,5270047.385,16.9152
2012-12-31,5081999.958,16.1934
2013-12-31,5170359.99,16.3622
2014-12-31,5225412.661,16.4166
2015-12-31,5126913.374,15.9899
2016-12-31,5006302.077,15.5022
